s,Zeta Real,Zeta Imag
0.5+1019.7j,-0.09342895322005439,-0.6918889734668737
0.5+1019.8j,-0.13852602693851623,-0.3351475646402894
0.5+1019.9j,-0.024878067307279872,-0.029964341668978694
0.5+1020j,0.19442455962099772,0.15755356037522017
0.5+1020.1j,0.4430456849213168,0.1985108934712301
0.5+1020.2j,0.643806100705672,0.1066852189086661
0.5+1020.3j,0.7402823213068545,-0.06829713423350607
0.5+1020.4j,0.7113366359286867,-0.2577226438241325
0.5+1020.5j,0.5745545699054296,-0.3951772036875206
0.5+1020.6j,0.37805719373958824,-0.43599748865633103
0.5+1020.7j,0.18370200908446999,-0.3690885679662909
0.5+1020.8j,0.04711182463625245,-0.21799555063136522
0.5+1020.9j,0.0005838731921393199,-0.03146499120001727
0.5+1021j,0.04373227115019401,0.13326544133681417
0.5+1021.1j,0.1442820651111217,0.22937400678481423
0.5+1021.2j,0.2485827320114284,0.23613160763168156
0.5+1021.3j,0.298875600910752,0.1669208276246989
0.5+1021.4j,0.2526154328335375,0.06714728004294443
0.5+1021.5j,0.0984710913022474,0.0021193344376878877
0.5+1021.6j,-0.1358484642084153,0.037611503870963264
0.5+1021.7j,-0.3870402393532047,0.21807568748052916
0.5+1021.8j,-0.5712015474324349,0.5487204998414127
0.5+1021.9j,-0.607293339043821,0.9873660844278693
0.5+1022j,-0.44301404578626324,1.4498319107650537
0.5+1022.1j,-0.07548490692637584,1.8289497446936052
0.5+1022.2j,0.44017167290152,2.023093544790258
0.5+1022.3j,0.998298016526008,1.9667550596844365
0.5+1022.4j,1.4656510823024942,1.6544063516095178
0.5+1022.5j,1.7146743174618677,1.150244183937119
0.5+1022.6j,1.6587163777967655,0.5800359975637114
0.5+1022.7j,1.2799820348917978,0.10603200308643669
0.5+1022.8j,0.6426720493434822,-0.10967035631778761
0.5+1022.9j,-0.112698778306862,0.0549984083801928
0.5+1023j,-0.7934861129642344,0.6481311790483871
0.5+1023.1j,-1.1931889710553958,1.6238410375205654
0.5+1023.2j,-1.1362695782447136,2.8415058196845413
0.5+1023.3j,-0.520243257535972,4.085817988363429
0.5+1023.4j,0.6543227285412155,5.104960969909038
0.5+1023.5j,2.2735090191909584,5.660114727982274
0.5+1023.6j,4.123445847335145,5.576292687162541
